run_id,network,per_weight,preset_name,time_burn,bio_efficiency,survivor_debuff,camera_uptime,final_val_loss,final_play_rate,norm_loss,norm_rate,combined_score
sweep_anynet_s1b1_time_burn_focused_per13,anynet_s1b1,13,time_burn_focused,3.0,1.0,0.5,0.5,316.92913516362506,125.11111111111111,0.06163121798676638,0.9174800354826887,0.06789784194592983
sweep_anynet_s1b5_time_burn_focused_per25,anynet_s1b5,25,time_burn_focused,3.0,1.0,0.5,0.5,610.5114831924438,132.86111111111111,0.11987427172232808,0.9999999999893522,0.08391199020882399
sweep_anynet_s1b10_time_burn_focused_per17,anynet_s1b10,17,time_burn_focused,3.0,1.0,0.5,0.5,185.70272715886435,109.52777777777777,0.035597545375783086,0.7515527950230535,0.09945244325613212
sweep_anynet_s1b10_burn_lean_per25,anynet_s1b10,25,burn_lean,2.5,0.75,1.5,0.5,130.02224135398865,99.11111111111111,0.024551235716739096,0.6406388642345273,0.12499420573135918
sweep_anynet_s1b5_time_burn_focused_per17,anynet_s1b5,17,time_burn_focused,3.0,1.0,0.5,0.5,159.87535977363586,99.77777777777777,0.030473719789653866,0.6477373558049929,0.12701039711125983
sweep_anynet_s1b10_burn_lean_per13,anynet_s1b10,13,burn_lean,2.5,0.75,1.5,0.5,147.3445916970571,98.63888888888889,0.027987772649669833,0.6356107660387808,0.12890821104313466
sweep_anynet_s1b1_time_burn_focused_per17,anynet_s1b1,17,time_burn_focused,3.0,1.0,0.5,0.5,276.69480419158936,103.69444444444444,0.05364923161547194,0.6894409937814788,0.1307221639963867
sweep_anynet_s5b5_balanced_per21,anynet_s5b5,21,balanced,2.0,0.75,2.0,0.5,51.59044533967972,92.58333333333333,0.008991351614342067,0.5711328009403842,0.13495410584792417
sweep_anynet_s5b1_burn_lean_per17,anynet_s5b1,17,burn_lean,2.5,0.75,1.5,0.5,35.27736532688141,91.80555555555556,0.005755041249780697,0.5628512274415076,0.13517316064239418
sweep_anynet_s1b10_time_burn_focused_per21,anynet_s1b10,21,time_burn_focused,3.0,1.0,0.5,0.5,56.62928624947866,92.44444444444444,0.009990994419316016,0.5696539485298705,0.13609751153456007
